Date;CDX_Index;ITX_Index
03/01/2005;0.36;0.44
04/01/2005;0.36;0.45
05/01/2005;0.37;0.46
06/01/2005;0.37;0.47
07/01/2005;0.37;0.47
10/01/2005;0.37;0.46
11/01/2005;0.37;0.47
12/01/2005;0.37;0.47
13/01/2005;0.36;0.47
14/01/2005;0.37;0.48
17/01/2005;0.37;0.48
18/01/2005;0.37;0.48
19/01/2005;0.37;0.49
20/01/2005;0.37;0.5
21/01/2005;0.36;0.49
24/01/2005;0.36;0.49
25/01/2005;0.35;0.48
26/01/2005;0.34;0.47
27/01/2005;0.33;0.47
28/01/2005;0.34;0.47
31/01/2005;0.33;0.47
01/02/2005;0.32;0.46
02/02/2005;0.31;0.45
03/02/2005;0.31;0.45
04/02/2005;0.31;0.45
07/02/2005;0.3;0.44
08/02/2005;0.3;0.45
09/02/2005;0.3;0.45
10/02/2005;0.3;0.46
11/02/2005;0.3;0.45
14/02/2005;0.3;0.45
15/02/2005;0.3;0.45
16/02/2005;0.3;0.44
17/02/2005;0.3;0.44
18/02/2005;0.3;0.44
21/02/2005;0.3;0.44
22/02/2005;0.3;0.45
23/02/2005;0.31;0.45
24/02/2005;0.3;0.44
25/02/2005;0.3;0.44
28/02/2005;0.3;0.44
01/03/2005;0.29;0.45
02/03/2005;0.29;0.44
03/03/2005;0.28;0.43
04/03/2005;0.28;0.44
07/03/2005;0.28;0.42
08/03/2005;0.28;0.41
09/03/2005;0.29;0.31
10/03/2005;0.29;0.42
11/03/2005;0.29;0.43
14/03/2005;0.29;0.43
15/03/2005;0.29;0.44
16/03/2005;0.31;0.46
17/03/2005;0.31;0.46
18/03/2005;0.31;0.45
21/03/2005;0.37;0.45
22/03/2005;0.38;0.45
23/03/2005;0.37;0.48
24/03/2005;0.37;0.47
25/03/2005;0.37;0.47
28/03/2005;0.37;0.46
29/03/2005;0.37;0.47
30/03/2005;0.38;0.49
31/03/2005;0.39;0.49
01/04/2005;0.4;0.51
04/04/2005;0.43;0.53
05/04/2005;0.41;0.51
06/04/2005;0.39;0.48
07/04/2005;0.38;0.48
08/04/2005;0.38;0.51
11/04/2005;0.4;0.51
12/04/2005;0.4;0.5
13/04/2005;0.41;0.5
14/04/2005;0.42;0.52
15/04/2005;0.45;0.58
18/04/2005;0.48;0.59
19/04/2005;0.46;0.57
20/04/2005;0.43;0.54
21/04/2005;0.41;0.55
22/04/2005;0.41;0.52
25/04/2005;0.41;0.54
26/04/2005;0.42;0.54
27/04/2005;0.43;0.54
28/04/2005;0.43;0.56
29/04/2005;0.45;0.59
02/05/2005;0.45;0.59
03/05/2005;0.45;0.6
04/05/2005;0.44;0.6
05/05/2005;0.42;0.56
06/05/2005;0.44;0.61
09/05/2005;0.46;0.61
10/05/2005;0.5;0.65
11/05/2005;0.54;0.72
12/05/2005;0.52;0.7
13/05/2005;0.54;0.73
16/05/2005;0.57;0.76
17/05/2005;0.6;0.76
18/05/2005;0.57;0.78
19/05/2005;0.51;0.7
20/05/2005;0.49;0.65
23/05/2005;0.48;0.64
24/05/2005;0.49;0.64
25/05/2005;0.46;0.63
26/05/2005;0.43;0.6
27/05/2005;0.43;0.57
30/05/2005;0.42;0.57
31/05/2005;0.43;0.58
01/06/2005;0.43;0.6
02/06/2005;0.4;0.56
03/06/2005;0.4;0.55
06/06/2005;0.41;0.56
07/06/2005;0.41;0.56
08/06/2005;0.41;0.56
09/06/2005;0.42;0.58
10/06/2005;0.41;0.57
13/06/2005;0.41;0.57
14/06/2005;0.4;0.57
15/06/2005;0.39;0.56
16/06/2005;0.4;0.56
17/06/2005;0.4;0.56
20/06/2005;0.4;0.57
21/06/2005;0.39;0.57
22/06/2005;0.39;0.56
23/06/2005;0.39;0.58
24/06/2005;0.41;0.61
27/06/2005;0.43;0.62
28/06/2005;0.41;0.62
29/06/2005;0.4;0.59
30/06/2005;0.4;0.6
01/07/2005;0.4;0.6
04/07/2005;0.39;0.6
05/07/2005;0.39;0.6
06/07/2005;0.39;0.59
07/07/2005;0.42;0.6
08/07/2005;0.39;0.6
11/07/2005;0.37;0.58
12/07/2005;0.37;0.58
13/07/2005;0.37;0.58
14/07/2005;0.36;0.57
15/07/2005;0.36;0.55
18/07/2005;0.36;0.55
19/07/2005;0.36;0.55
20/07/2005;0.37;0.55
21/07/2005;0.36;0.54
22/07/2005;0.36;0.53
25/07/2005;0.36;0.53
26/07/2005;0.36;0.53
27/07/2005;0.36;0.52
28/07/2005;0.36;0.51
29/07/2005;0.36;0.51
01/08/2005;0.36;0.51
02/08/2005;0.36;0.52
03/08/2005;0.36;0.52
04/08/2005;0.36;0.53
05/08/2005;0.37;0.54
08/08/2005;0.37;0.54
09/08/2005;0.37;0.54
10/08/2005;0.36;0.53
11/08/2005;0.36;0.53
12/08/2005;0.36;0.52
15/08/2005;0.36;0.52
16/08/2005;0.36;0.53
17/08/2005;0.36;0.52
18/08/2005;0.36;0.52
19/08/2005;0.36;0.51
22/08/2005;0.35;0.51
23/08/2005;0.35;0.5
24/08/2005;0.36;0.49
25/08/2005;0.36;0.48
26/08/2005;0.36;0.49
29/08/2005;0.36;0.49
30/08/2005;0.37;0.5
31/08/2005;0.37;0.51
01/09/2005;0.37;0.51
02/09/2005;0.37;0.52
05/09/2005;0.37;0.53
06/09/2005;0.36;0.53
07/09/2005;0.36;0.5
08/09/2005;0.36;0.51
09/09/2005;0.36;0.5
12/09/2005;0.35;0.5
13/09/2005;0.35;0.5
14/09/2005;0.34;0.5
15/09/2005;0.34;0.49
16/09/2005;0.35;0.5
19/09/2005;0.35;0.5
20/09/2005;0.39;0.51
21/09/2005;0.39;0.47
22/09/2005;0.4;0.48
23/09/2005;0.39;0.47
26/09/2005;0.37;0.46
27/09/2005;0.37;0.46
28/09/2005;0.37;0.46
29/09/2005;0.37;0.46
30/09/2005;0.36;0.45
03/10/2005;0.36;0.45
04/10/2005;0.36;0.46
05/10/2005;0.37;0.46
06/10/2005;0.38;0.46
07/10/2005;0.38;0.48
10/10/2005;0.38;0.48
11/10/2005;0.38;0.48
12/10/2005;0.38;0.48
13/10/2005;0.39;0.49
14/10/2005;0.39;0.49
17/10/2005;0.38;0.49
18/10/2005;0.37;0.47
19/10/2005;0.38;0.47
20/10/2005;0.38;0.47
21/10/2005;0.38;0.48
24/10/2005;0.38;0.47
25/10/2005;0.37;0.47
26/10/2005;0.37;0.48
27/10/2005;0.38;0.48
28/10/2005;0.38;0.48
31/10/2005;0.38;0.48
01/11/2005;0.37;0.48
02/11/2005;0.37;0.48
03/11/2005;0.37;0.49
04/11/2005;0.37;0.49
07/11/2005;0.37;0.49
08/11/2005;0.37;0.49
09/11/2005;0.37;0.49
10/11/2005;0.37;0.49
11/11/2005;0.37;0.49
14/11/2005;0.37;0.5
15/11/2005;0.37;0.5
16/11/2005;0.37;0.51
17/11/2005;0.37;0.51
18/11/2005;0.37;0.51
21/11/2005;0.36;0.51
22/11/2005;0.37;0.5
23/11/2005;0.36;0.5
24/11/2005;0.36;0.5
25/11/2005;0.36;0.5
28/11/2005;0.36;0.5
29/11/2005;0.36;0.49
30/11/2005;0.35;0.49
01/12/2005;0.35;0.49
02/12/2005;0.35;0.49
05/12/2005;0.35;0.49
06/12/2005;0.36;0.49
07/12/2005;0.36;0.49
08/12/2005;0.36;0.49
09/12/2005;0.36;0.49
12/12/2005;0.36;0.48
13/12/2005;0.36;0.47
14/12/2005;0.36;0.47
15/12/2005;0.36;0.47
